,case_id,context,article_list,keywords
0,case_id=387397947&case_uid=3bd4014b-293b-4413-9062-b6280c16d290,"['ствии 21.08.2022 (т. 1 л.д. 136-138) установлено, что она работает учителем русского языка и литературы МБОУ СОШ №0 на протяжении 32 лет. Согласно представленных ей выражений, а именно: «с***», «лицо нетрадиционной ориентации», «презерватив полового акта», выраженные в форме грубой нецензурной брани, являются выражениями, которые не могут использоваться по отношению к человеку, так как данные фразы подразумевают под соб']",ст.318 ч.1,['нетрадиционной ориентац']
1,case_id=252788936&case_uid=4e480381-ff97-417c-8fd7-8332d7a1035c,"['ыре ранения, и что брата убил мужчина по фамилии ФИО2. Знает, что брат ушел из дома -Дата-. Из компании, с кем выпивал брат в день убийства, никого не знает, подсудимый ФИО2 ему не знаком. Каких-либо гомосексуальных наклонностей у брата не было, он жил с женой, с которой развелись по причине злоупотребления братом спиртным и наличия кредитных обязательств. О том, что брат привлекался к уголовной ответственности,']",ст.105 ч.1,['гомосексуальных']
2,case_id=359848281&case_uid=e6f8b636-cc4f-4e02-a232-6672384cad11,"['ние, но она продолжала вести себя агрессивно, посылал его на нецензурное выражение, обозначающее мужской половой орган («х…й»), высказывала в его адрес нецензурным выражением мужчиной не традиционной сексуальной ориентации («пид…ом»), нецензурным выражением обозначающим средство контрацепции («ганд…м»), после того, как он попытался к ней подойти, чтобы задержать, она попыталась убежать, но немного пробежав, упала на ']",ст.318 ч.1,['сексуальной ориентац']
3,case_id=75304464&case_uid=5cc9677f-101d-4f8f-b170-a8ec19936183,"['ли кричать друг на друга. Он сказал брату, что нужно уезжать, после чего они с братом пошли к машине. О1. продолжал, что-то кричать, а затем крикнул брату оскорбление, назвав его лицом нетрадиционной сексуальной ориентации. Брата это сильно разозлило. По дороге домой они с П1. пытались успокоить брата, однако у них не получилось. Высадив П1., они поехали обратно. О1. и женщины стояли на прежнем месте. Проехав до 6 ил']",ст.105 ч.2 п.ж,['сексуальной ориентац']
4,case_id=30936128&case_uid=c4f251eb-f11f-4e57-8bb3-03942c3f5381,"[' л.д. 33-36, 37, 38, 40, 42, 43, 46, 48, 50, 52).\nСогласно заключению судебно-психиатрической экспертизы № от ДД.ММ.ГГГГ, Марков Д.М. обнаруживает признаки «расстройства психосексуального развития по гомосексуальному типу». Имеющееся у Маркова Д.М. психическое расстройство не может быть приравнено к хроническому психическому расстройству, слабоумию. По своему психическому состоянию Марков Д.М. мог во время соверш']",ст.160 ч.3,['гомосексуальному']
5,case_id=129958453&case_uid=99237050-7d1f-4257-82cb-9eab18e1c7ba,"['ния, то между ним и Потерпевший №1 произошел словесный конфликт. Причиной конфликта стало то, что Потерпевший №1 стал выражаться в его адрес грубой нецензурной бранью, назвав его лицом нетрадиционной сексуальной ориентации. Так как он ранее отбывал срок в местах лишения свободы, то оскорбления, высказанные в его адрес Потерпевший №1, его сильно разозлили и оскорбили. Он в тот момент находился в возбужденном состоянии']",ст.112 ч.2 п.з,['сексуальной ориентац']
6,case_id=275343686&case_uid=95c3953f-83bf-4818-bf4f-e2c8f6a4c5e3,"[' Кузнецов сказал что-то С.А.И., упомянув К.Ж.И., в ответ С.А.И. ему ничего не говорил. Кузнецов еще сильнее стал злиться на С.А.И., стал кричать на него с «матом», называя его мужчиной нетрадиционной сексуальной ориентации, после чего попытался ударить рукой С.А.И., но мама успела его оттолкнуть. Затем С.А.И. пересел на стул, и она услышала как Кузнецов сказал ему: «Че плюешься здесь?!», после чего она услышала из за']",ст.111 ч.4,['сексуальной ориентац']
7,case_id=387386662&case_uid=193703ce-7f7f-4fc7-8739-b49aa49be202,"['то есть указанных мужчинах. Они на словах пытались успокоить Тимурова Ю.И., но та еще больше оскорбляла их грубой нецензурной бранью, дословно: «идите на мужской половой орган», «вам конец», «вы лица нетрадиционной ориентации», но все это было сказано в форме грубой нецензурной брани. Затем Тимурова Ю.И. взяла портативную колонку и умышленно кинула ее в В.С., однако тот сумел увернуться, в связи с чем,колонка ударилась ']"," ст.318 ч.1,ст.319",['нетрадиционной ориентац']
8,case_id=73195178&case_uid=dc242f08-7112-457e-9ce3-10a0c42c75b5,"['. и Ч., обращаясь именно к К. произнес оскорбление в нецензурной форме. После Волков Н.М., снова в их присутствии, обращаясь уже к Н., произнес оскорбление в нецензурной форме, причислив того к лицам нетрадиционной ориентации, а спустя несколько минут в адрес Н. высказал угрозу: «Я узнаю, где ты живешь, и «зарежу» всю твою семью. Ходи и бойся!».\nПоказаниями свидетеля Ф. согласно которым 16.10.2021 к ним домой с проверко']"," ст.318 ч.1,ст.319",['нетрадиционной ориентац']
9,case_id=29152598&case_uid=f00ef618-4915-4719-b592-ada140e1ef2c,"['ался с Татариновым Д.Д. Татаринов Д.Д. даже выговаривает его голосом, который, может быть, на Татаринова Д.Д. действует психологически плохо. Были высказывания со стороны Татаринова Д.Д., что он лицо нетрадиционной ориентации, от этого он обиделся. Потом Татаринов Д.Д. подошел к нему и ударил в затылок, это ему не понравилось. Он удивился, что это с Татариновым Д.Д., также сидел, не вставал. Татаринов Д.Д. наверное поду']",ст.111 ч.1,['нетрадиционной ориентац']
10,_id=290155921&_uid=08795c52-f72c-4d20-80d8-ae91daf1ac85,"['ший №1, находившегося при исполнении им своих должностных обязанностей, обозвав последнего словами грубой нецензурной брани, характеризующими по своему смыслу последнего как человека с нетрадиционной сексуальной ориентацией, послав при этом в сторону мужского полового органа, в грубой, презрительной, неприличной форме, чем публично унизил честь и достоинство представителя власти Потерпевший №1 не только в его глазах,']"," ст.318 ч.1,ст.319",['сексуальной ориентац']
